as_of,target_quarter,target_quarter_date,qoq_growth_forecast,qoq_actual,qoq_error,direction_correct,n_months_in_quarter,n_series_selected,target,first,release,v2,c2,asof,model,k,v3,v3_raw,v2_bc,combo,combo_raw,combo_bc2,h,bucket
2023-08-14,2023 Q2,2023-06-01,0.450724104034275,0.3557,0.0950241040342749,True,3,19,2023Q2,0.3557,2023-09-06,0.450724104034275,0.0,2023-08-14,0.4077,3,0.4077,0.4077,0.450724104034275,0.4292120520171375,0.4292120520171375,0.4292120520171375,23,<30d
2023-08-21,2023 Q2,2023-06-01,0.4489500165139446,0.3557,0.0932500165139446,True,3,19,2023Q2,0.3557,2023-09-06,0.4489500165139446,0.0,2023-08-21,0.4004,3,0.4004,0.4004,0.4489500165139446,0.4246750082569723,0.4246750082569723,0.4246750082569723,16,<30d
2023-08-28,2023 Q2,2023-06-01,0.4489500165139446,0.3557,0.0932500165139446,True,3,19,2023Q2,0.3557,2023-09-06,0.4489500165139446,0.0,2023-08-28,0.3902,3,0.3902,0.3902,0.4489500165139446,0.4195750082569723,0.4195750082569723,0.4195750082569723,9,<30d
2023-09-04,2023 Q3,2023-09-01,0.1807981116832622,0.212,-0.0312018883167377,True,2,19,2023Q3,0.212,2023-12-06,0.1807981116832622,0.0,2023-09-04,0.4238,3,0.4238,0.4238,0.1807981116832622,0.3022990558416311,0.3022990558416311,0.3022990558416311,93,>90d
2023-09-11,2023 Q3,2023-09-01,0.1923873598200616,0.212,-0.0196126401799383,True,2,19,2023Q3,0.212,2023-12-06,0.1923873598200616,0.0,2023-09-11,0.4842,3,0.4842,0.4842,0.1923873598200616,0.3382936799100308,0.3382936799100308,0.3382936799100308,86,60-90d
2023-09-18,2023 Q3,2023-09-01,0.2533322445763563,0.212,0.0413322445763562,True,3,19,2023Q3,0.212,2023-12-06,0.2533322445763563,0.0,2023-09-18,0.5202,3,0.5202,0.5202,0.2533322445763563,0.38676612228817814,0.38676612228817814,0.38676612228817814,79,60-90d
2023-09-25,2023 Q3,2023-09-01,0.2533322445763563,0.212,0.0413322445763562,True,3,19,2023Q3,0.212,2023-12-06,0.2533322445763563,0.0,2023-09-25,0.432,3,0.432,0.432,0.2533322445763563,0.34266612228817817,0.34266612228817817,0.34266612228817817,72,60-90d
2023-10-02,2023 Q3,2023-09-01,0.1919416069696609,0.212,-0.020058393030339,True,3,19,2023Q3,0.212,2023-12-06,0.1919416069696609,0.0,2023-10-02,0.4044,3,0.4044,0.4044,0.1919416069696609,0.29817080348483044,0.29817080348483044,0.29817080348483044,65,60-90d
2023-10-09,2023 Q3,2023-09-01,0.2071703420468813,0.212,-0.0048296579531186,True,3,19,2023Q3,0.212,2023-12-06,0.2071703420468813,0.0,2023-10-09,0.3339,3,0.3339,0.3339,0.2071703420468813,0.27053517102344066,0.27053517102344066,0.27053517102344066,58,30-60d
2023-10-16,2023 Q3,2023-09-01,0.24530289287055,0.212,0.03330289287055,True,3,19,2023Q3,0.212,2023-12-06,0.24530289287055,0.0,2023-10-16,0.3876,3,0.3876,0.3876,0.24530289287055,0.316451446435275,0.316451446435275,0.316451446435275,51,30-60d
2023-10-23,2023 Q3,2023-09-01,0.24530289287055,0.212,0.03330289287055,True,3,19,2023Q3,0.212,2023-12-06,0.24530289287055,0.0,2023-10-23,0.4589,3,0.4589,0.4589,0.24530289287055,0.35210144643527497,0.35210144643527497,0.35210144643527497,44,30-60d
