as_of,target_quarter,target_quarter_date,qoq_growth_forecast,qoq_actual,qoq_error,direction_correct,n_months_in_quarter,n_series_selected,next_target_quarter,next_target_quarter_date,qoq_growth_forecast_next,qoq_actual_next,n_months_in_next_quarter
2018-01-22,2017 Q4,2017-12-01,0.6984826102350303,0.3649,0.33358261023503033,TRUE,3,15,2018 Q1,2018-03-01,0.6380128033790123,1.0305,1
2018-01-29,2017 Q4,2017-12-01,0.6984826102350303,0.3649,0.33358261023503033,TRUE,3,15,2018 Q1,2018-03-01,0.6380128033790123,1.0305,1
2018-02-05,2017 Q4,2017-12-01,0.6328583413219455,0.3649,0.2679583413219455,TRUE,3,15,2018 Q1,2018-03-01,0.5601016534557631,1.0305,1
2018-02-12,2017 Q4,2017-12-01,0.6329599495447167,0.3649,0.2680599495447167,TRUE,3,15,2018 Q1,2018-03-01,0.5758778915128966,1.0305,1
2018-02-19,2017 Q4,2017-12-01,0.6350083958796129,0.3649,0.2701083958796129,TRUE,3,15,2018 Q1,2018-03-01,0.44307656355451797,1.0305,2
2018-02-26,2017 Q4,2017-12-01,0.6350083958796129,0.3649,0.2701083958796129,TRUE,3,15,2018 Q1,2018-03-01,0.44307656355451797,1.0305,2
2018-03-05,2018 Q1,2018-03-01,0.4235909936548039,1.0305,-0.6069090063451961,TRUE,2,15,NA,NA,NA,NA,NA
2018-03-12,2018 Q1,2018-03-01,0.4275858398870675,1.0305,-0.6029141601129324,TRUE,2,15,NA,NA,NA,NA,NA
2018-03-19,2018 Q1,2018-03-01,0.5972602423186347,1.0305,-0.43323975768136525,TRUE,3,15,NA,NA,NA,NA,NA
2018-03-26,2018 Q1,2018-03-01,0.5972602423186347,1.0305,-0.43323975768136525,TRUE,3,15,NA,NA,NA,NA,NA
2018-04-02,2018 Q1,2018-03-01,0.5927860011760147,1.0305,-0.4377139988239853,TRUE,3,15,NA,NA,NA,NA,NA
2018-04-09,2018 Q1,2018-03-01,0.5990524863625626,1.0305,-0.4314475136374374,TRUE,3,15,NA,NA,NA,NA,NA
2018-04-16,2018 Q1,2018-03-01,0.49447424063294276,1.0305,-0.5360257593670572,TRUE,3,15,2018 Q2,2018-06-01,0.48003897177795524,0.8634,1
2018-04-23,2018 Q1,2018-03-01,0.49447424063294276,1.0305,-0.5360257593670572,TRUE,3,15,2018 Q2,2018-06-01,0.48003897177795524,0.8634,1
2018-04-30,2018 Q1,2018-03-01,0.4827247504504735,1.0305,-0.5477752495495265,TRUE,3,15,2018 Q2,2018-06-01,0.4722453430087259,0.8634,1
2018-05-07,2018 Q1,2018-03-01,0.4795431191827547,1.0305,-0.5509568808172453,TRUE,3,15,2018 Q2,2018-06-01,0.4734609872679905,0.8634,1
2018-05-14,2018 Q1,2018-03-01,0.4796787506041411,1.0305,-0.5508212493958589,TRUE,3,15,2018 Q2,2018-06-01,0.49250789437748904,0.8634,1
2018-05-21,2018 Q1,2018-03-01,0.4769540826094996,1.0305,-0.5535459173905004,TRUE,3,15,2018 Q2,2018-06-01,0.6571006927848823,0.8634,2
2018-05-28,2018 Q1,2018-03-01,0.4769540826094996,1.0305,-0.5535459173905004,TRUE,3,15,2018 Q2,2018-06-01,0.6571006927848823,0.8634,2
2018-06-04,2018 Q2,2018-06-01,0.6913356679854943,0.8634,-0.17206433201450566,TRUE,2,16,NA,NA,NA,NA,NA
2018-06-11,2018 Q2,2018-06-01,0.7190152348402821,0.8634,-0.14438476515971788,TRUE,2,16,NA,NA,NA,NA,NA
2018-06-18,2018 Q2,2018-06-01,0.7284645468410309,0.8634,-0.13493545315896904,TRUE,3,16,NA,NA,NA,NA,NA
2018-06-25,2018 Q2,2018-06-01,0.7284645468410309,0.8634,-0.13493545315896904,TRUE,3,16,NA,NA,NA,NA,NA
2018-07-02,2018 Q2,2018-06-01,0.7382546055713743,0.8634,-0.1251453944286256,TRUE,3,16,NA,NA,NA,NA,NA
2018-07-09,2018 Q2,2018-06-01,0.7260326585485266,0.8634,-0.13736734145147333,TRUE,3,16,NA,NA,NA,NA,NA
2018-07-16,2018 Q2,2018-06-01,0.7309488558681125,0.8634,-0.1324511441318874,TRUE,3,16,2018 Q3,2018-09-01,0.8096290371916911,0.253,1
2018-07-23,2018 Q2,2018-06-01,0.7309488558681125,0.8634,-0.1324511441318874,TRUE,3,16,2018 Q3,2018-09-01,0.8096290371916911,0.253,1
2018-07-30,2018 Q2,2018-06-01,0.7134246879639544,0.8634,-0.14997531203604553,TRUE,3,16,2018 Q3,2018-09-01,0.7972956340372037,0.253,1
2018-08-06,2018 Q2,2018-06-01,0.7131841473901558,0.8634,-0.15021585260984416,TRUE,3,16,2018 Q3,2018-09-01,0.7991245736273046,0.253,1
2018-08-13,2018 Q2,2018-06-01,0.7136578727525442,0.8634,-0.14974212724745573,TRUE,3,16,2018 Q3,2018-09-01,0.844953698702057,0.253,1
2018-08-20,2018 Q2,2018-06-01,0.7132332824658417,0.8634,-0.15016671753415822,TRUE,3,16,2018 Q3,2018-09-01,0.982572103603346,0.253,2
2018-08-27,2018 Q2,2018-06-01,0.7132332824658417,0.8634,-0.15016671753415822,TRUE,3,16,2018 Q3,2018-09-01,0.982572103603346,0.253,2
2018-09-03,2018 Q3,2018-09-01,0.9332356222326524,0.253,0.6802356222326524,TRUE,2,17,NA,NA,NA,NA,NA
2018-09-10,2018 Q3,2018-09-01,0.9667952299714823,0.253,0.7137952299714823,TRUE,2,17,NA,NA,NA,NA,NA
2018-09-17,2018 Q3,2018-09-01,1.1472803651838608,0.253,0.8942803651838608,TRUE,3,17,NA,NA,NA,NA,NA
2018-09-24,2018 Q3,2018-09-01,1.1472803651838608,0.253,0.8942803651838608,TRUE,3,17,NA,NA,NA,NA,NA
2018-10-01,2018 Q3,2018-09-01,1.11240805654192,0.253,0.8594080565419201,TRUE,3,17,NA,NA,NA,NA,NA
2018-10-08,2018 Q3,2018-09-01,1.1111413717447465,0.253,0.8581413717447465,TRUE,3,17,NA,NA,NA,NA,NA
2018-10-15,2018 Q3,2018-09-01,1.115117735472686,0.253,0.862117735472686,TRUE,3,17,NA,NA,NA,NA,NA
2018-10-22,2018 Q3,2018-09-01,1.114216446409126,0.253,0.861216446409126,TRUE,3,17,2018 Q4,2018-12-01,0.8161614057877943,0.1775,1
2018-10-29,2018 Q3,2018-09-01,1.114216446409126,0.253,0.861216446409126,TRUE,3,17,2018 Q4,2018-12-01,0.8161614057877943,0.1775,1
2018-11-05,2018 Q3,2018-09-01,1.0699328200094405,0.253,0.8169328200094405,TRUE,3,17,2018 Q4,2018-12-01,0.7788005151654344,0.1775,1
2018-11-12,2018 Q3,2018-09-01,1.0701248620454384,0.253,0.8171248620454384,TRUE,3,17,2018 Q4,2018-12-01,0.7887694427424107,0.1775,1
2018-11-19,2018 Q3,2018-09-01,1.0689470537980064,0.253,0.8159470537980064,TRUE,3,17,2018 Q4,2018-12-01,0.7926868725035654,0.1775,2
2018-11-26,2018 Q3,2018-09-01,1.0689470537980064,0.253,0.8159470537980064,TRUE,3,17,2018 Q4,2018-12-01,0.7926868725035654,0.1775,2
2018-12-03,2018 Q4,2018-12-01,0.7562819450194963,0.1775,0.5787819450194963,TRUE,2,16,NA,NA,NA,NA,NA
2018-12-10,2018 Q4,2018-12-01,0.7576213295423688,0.1775,0.5801213295423688,TRUE,2,16,NA,NA,NA,NA,NA
2018-12-17,2018 Q4,2018-12-01,0.49014669290017837,0.1775,0.3126466929001784,TRUE,3,16,NA,NA,NA,NA,NA
2018-12-24,2018 Q4,2018-12-01,0.49014669290017837,0.1775,0.3126466929001784,TRUE,3,16,NA,NA,NA,NA,NA
2018-12-31,2018 Q4,2018-12-01,0.4798908288843154,0.1775,0.3023908288843154,TRUE,3,16,NA,NA,NA,NA,NA
2019-01-07,2018 Q4,2018-12-01,0.46264228496222426,0.1775,0.28514228496222427,TRUE,3,16,NA,NA,NA,NA,NA
