,emp,ft_emp,pt_emp,ue,ud,hours,doe_ads,anz_ads,nab_cond,nab_profit,nab_trade,nab_emp,nab_forward,nab_stocks,nab_conf,nab_cu,aig_pmi,aig_psi,aig_pci,new_reg,anz_finance,anz_sent,wmi_finance,wmi_sent,rt,mv,arrivals,export,import,res_ba,hs_ba,nh_ba,alt_add,non_res_ba,acr,credit,credit_housing,credit_personal,credit_business,firmmbab90,fcmygbag3,fcmygbag5,fcmygbag10,scrigbag3,scrigbag5,scrigbag10,twi,asx200,icp,house_prices,mt103s,credit_card,debit_card
1/02/1980,0.317355561,0.919342563,-0.991866848,-0.744755878,-0.091581368,-0.24066913,,,,,,,,,,,,,,1.508710782,,,,0.148423735,,,,0.585315701,-2.685231726,0.06659511,1.255515128,-1.515813428,-0.166934009,0.446927538,,1.208570586,-0.137986855,1.170458941,1.174023123,,,1.403450552,0.35988934,,,,0.195724614,,0.323557757,,,,
1/03/1980,0.08915747,0.269873555,-0.250105465,-0.318634714,0.089160409,0.011981659,,,,,,,,,,,,,,1.788470727,,,,0.22527243,,,,-0.803787821,0.266778659,0.582948325,0.663354068,0.705064048,0.017293959,-0.729388268,,0.640522373,-0.535428295,0.247556497,0.677781257,,,0.899154482,2.106019909,,,,0.466055768,,-2.232502148,,,,
1/04/1980,0.16458054,0.13659483,0.178767329,0.868921336,-0.125819725,-0.06725665,,,,,,,,,,,,,,2.004623478,,,,-0.096637497,,,,-0.747330049,-2.055478198,-0.127708198,0.334933099,-0.902488233,0.400588888,-0.624075315,,0.495354963,4.898725518,0.026149135,-0.456488471,,,0.764693175,1.739655034,,,,0.116152653,,-1.729307645,,,,
1/05/1980,0.471359365,1.683938262,-2.15859508,0.642308722,-0.070979077,0.369286515,,,,,,,,,,,,,,2.635049307,,,,0.100551924,,,,-1.755910503,2.779944657,-0.441129149,-0.818607035,-0.012444161,0.5934156,0.105169462,,0.879100814,0.479732562,0.433737848,0.906385196,,,1.054760058,0.230476273,,,,0.206099759,,0.962868046,,,,
1/06/1980,-0.060456894,-1.116011672,2.132494868,0.372919646,0.133433365,2.983747307,,,,,,,,,,,,,,2.28538103,,,,0.299910437,,,,3.508268992,-0.264343728,0.375137547,0.447962311,0.447037603,-0.001254959,0.695119493,,-0.049044535,-0.144937093,0.396504587,-0.337815661,,,0.006543005,0.006787459,,,,0.165629992,,2.00858284,,,,
1/07/1980,0.843350508,0.31053414,1.36136965,-1.200532616,-0.112260841,-2.406542079,,,,,,,,,,,,,,2.303454409,,,,-0.03044888,,,,-1.61610808,1.778556422,-0.441708195,-0.666907646,-0.256076003,0.031184959,0.29262942,,1.195280646,0.484003639,0.40207981,1.309202696,,,0.067165743,0.13707755,,,,0.291218733,,0.256963704,,,,
1/08/1980,-0.021590305,0.318130239,-0.587027328,0.490429734,0.166052858,-0.310904207,,,,,,,,,,,,,,2.687187467,,,,0.254928275,,,,-2.580120515,-0.863238729,1.030562953,1.53406491,0.696203228,0.742117244,0.11833168,,0.361540678,0.34239982,0.601857344,0.162681285,,,0.06761081,0.200821689,,,,0.205793968,,-0.679733779,,,,
1/09/1980,-0.256665791,-0.694370793,0.816095999,-0.17296427,-0.001454627,0.25104409,,,,,,,,,,,,,,2.846635652,,,,0.539817342,,,,1.029676535,0.69961876,-0.706190907,-0.880271139,-0.707313093,-0.211144321,-0.247066354,,0.106440869,0.028057259,0.628075058,0.011439676,,,0.093510451,-0.052882511,,,,0.077209548,,1.114960326,,,,
1/10/1980,-0.774888485,-0.208279347,-1.260005626,-0.421549078,-0.176729547,0.17809428,,,,,,,,,,,,,,3.09279876,,,,0.987056996,,,,0.237498537,0.552438453,0.631863161,0.810779683,0.63108482,0.533685083,0.117467714,,1.33104658,0.55644081,0.991734372,1.20747557,,,0.321938668,0.454528895,,,,0.257648564,,0.186769418,,,,
1/11/1980,0.470020856,-0.141016449,1.372206526,-1.010668933,-0.107086304,-0.474164227,,,,,,,,,,,,,,2.05576889,,,,0.720683502,,,,0.514235926,-2.204916937,-0.090558838,0.334757836,-0.784748332,-0.575022041,-0.356402018,,0.67763826,0.703415545,1.288049404,0.387883444,,,1.602143965,1.723324422,,,,0.348972347,,-0.368145355,,,,
1/12/1980,0.524026133,1.07119451,-0.7952682,0.983762788,-0.229106617,-0.002144872,,,,,,,,,,,,,,3.063188291,,,,1.029775852,,,,-0.849075066,1.368395607,-0.013939162,0.026899797,-0.061941464,0.358020173,-0.068200245,,0.821899763,0.295564837,1.204426615,0.627374484,,,0.928562094,0.65493556,,,,0.216863172,,-2.176916311,,,,
1/01/1981,-0.139084996,0.377320377,-0.956373889,-0.670565788,0.074743996,-0.332493768,,,,,,,,,,,,,,3.015930575,,,,1.174278625,,,,1.408619539,-2.981880707,0.476068631,0.596182514,0.535956795,-0.109980812,-0.054558378,,1.198233968,0.343839451,0.592856217,1.134877445,,,1.16514186,1.676673018,,,,0.252197278,,0.213239677,,,,
1/02/1981,0.258256702,0.189696434,0.288803738,-1.488211111,-0.137804662,0.332260678,,,,,,,,,,,,,,3.286169869,,,,1.261290535,,,,-1.705747063,3.018014643,-0.565337268,-0.527300244,-0.896918339,1.552716693,0.488987187,,0.346113627,0.285344333,0.524256011,0.187076064,,,0.094035984,0.101538809,,,,0.380692481,,-1.265486988,,,,
1/03/1981,-0.189080148,-0.582911685,0.751415928,0.622432034,0.053212289,-0.193562878,,,,,,,,,,,,,,4.733858281,,,,1.182840028,,,,-0.765501969,1.30614936,0.404949223,0.424309719,0.604950067,0.155975648,-0.048034786,,1.004387152,0.001572159,0.685702294,0.825953045,,,0.095182596,0.102650279,,,,0.343184782,,0.435128643,,,,
1/04/1981,0.685446074,1.510808952,-1.267976031,-0.958332593,-0.197267343,1.401181397,,,,,,,,,,,,,,3.234450946,,,,0.759633204,,,,1.833878751,-0.408148964,0.230334976,0.471898605,-0.038682243,0.266704938,0.223762902,,1.214329646,-1.063107376,1.623311116,1.618269213,,,0.098177697,0.105165063,,,,0.390329133,,-0.930533577,,,,
1/05/1981,-0.305033327,-0.892550781,1.08741306,0.142848427,-0.016994607,-1.301118422,,,,,,,,,,,,,,5.524979789,,,,0.334203353,,,,-0.603399445,-2.24677707,-0.552019211,-1.271984155,0.364057833,-1.880296004,0.571127847,,1.641250767,-0.747983588,1.584660184,1.759068145,,,0.093920961,0.099272407,,,,0.630698246,,-0.567799657,,,,
1/06/1981,0.247902078,0.558387154,-0.427050317,-1.091204359,-0.284807612,0.125958331,,,,,,,,,,,,,,4.212247151,,,,0.23787687,,,,-0.204916388,2.6971376,0.874999988,0.871700917,1.151860634,1.509105779,-0.580084351,,0.869869791,1.022906813,1.647723741,0.202319872,,,0.089858302,0.094439203,,,,0.947480891,,0.23412479,,,,
