,RT_MAI
2004-04-01,0.606033591982073
2004-05-01,0.586282645898973
2004-06-01,0.583116857881857
2004-07-01,0.521022693524987
2004-08-01,0.486609049723654
2004-09-01,0.557214027764194
2004-10-01,0.562021662168909
2004-11-01,0.544225988021422
2004-12-01,0.576192324697961
2005-01-01,0.541096209334736
2005-02-01,0.514114816588626
2005-03-01,0.237664752968122
2005-04-01,0.209109000499902
2005-05-01,0.303202172553704
2005-06-01,0.261031202057282
2005-07-01,0.167419357624116
2005-08-01,0.235809507347257
2005-09-01,0.0729670636794329
2005-10-01,-0.048328429223039
2005-11-01,0.108598404072842
2005-12-01,0.155422289408718
2006-01-01,0.146117778482167
2006-02-01,0.207227350228189
2006-03-01,0.502474571841173
2006-04-01,0.381123326885187
2006-05-01,0.311241106774192
2006-06-01,0.409432684671475
2006-07-01,0.312286256138765
2006-08-01,0.20494400640241
2006-09-01,0.24021561728734
2006-10-01,0.354219635409294
2006-11-01,0.271645504667821
2006-12-01,0.284607988707459
2007-01-01,0.332894419645934
2007-02-01,0.590264001244209
2007-03-01,0.645789518636087
2007-04-01,0.535291565814574
2007-05-01,0.716764179648285
2007-06-01,0.609198838143083
2007-07-01,0.677177596215646
2007-08-01,0.58221086740391
2007-09-01,0.52738684868725
2007-10-01,0.583774704520357
2007-11-01,0.577542143869302
2007-12-01,0.47374460738509
2008-01-01,0.363929820496539
2008-02-01,0.434651722954341
2008-03-01,0.185647378113327
2008-04-01,0.0345493797223222
2008-05-01,-0.0662933921807074
2008-06-01,-0.286961729021871
2008-07-01,-0.50984737358261
2008-08-01,-0.668887078850447
2008-09-01,-0.82914921060145
2008-10-01,-1.22050748977626
2008-11-01,-1.55730306572568
2008-12-01,-1.55345864756603
2009-01-01,-1.62090866544722
2009-02-01,-1.96507658696341
2009-03-01,-1.86171681507924
2009-04-01,-1.53886256730132
2009-05-01,-1.51468005410179
2009-06-01,-0.953376396861971
2009-07-01,-0.739061265903304
2009-08-01,-0.348469482022836
2009-09-01,-0.215092501998429
2009-10-01,0.0579310353461412
2009-11-01,0.27344212772837
2009-12-01,0.242880980766585
2010-01-01,0.223742610532708
2010-02-01,0.249179717413701
2010-03-01,0.224653890407349
2010-04-01,0.245383749932049
2010-05-01,0.282924278723802
2010-06-01,0.101418360682015
2010-07-01,-0.0131108176186218
2010-08-01,-0.0155045245980493
2010-09-01,-0.0095878660102769
2010-10-01,-0.0783239899268349
2010-11-01,-0.028466643484627
2010-12-01,-0.145828979066706
2011-01-01,-0.293587913236094
2011-02-01,-0.290824703302594
2011-03-01,-0.201464782404539
2011-04-01,-0.19127119685009
2011-05-01,-0.304097432432589
2011-06-01,-0.236856103823851
2011-07-01,-0.317703168194791
2011-08-01,-0.505045452386636
2011-09-01,-0.450989001566504
2011-10-01,-0.408275007745584
2011-11-01,-0.399654063859626
2011-12-01,-0.419492363409055
2012-01-01,-0.340003542455795
2012-02-01,-0.361518287640676
2012-03-01,-0.281156488730364
2012-04-01,-0.422690057655272
2012-05-01,-0.532903558211767
2012-06-01,-0.56993289952832
2012-07-01,-0.596152028053672
2012-08-01,-0.472030189435842
2012-09-01,-0.598031670226302
2012-10-01,-0.785428803265937
2012-11-01,-0.814841023936261
2012-12-01,-0.733859596825236
2013-01-01,-0.653694125347408
2013-02-01,-0.709573348007202
2013-03-01,-0.737555410100861
2013-04-01,-0.778396378261787
2013-05-01,-0.76812125825389
2013-06-01,-0.825223066985337
2013-07-01,-0.797295168016887
2013-08-01,-0.820151345054105
2013-09-01,-0.511237428150815
2013-10-01,-0.523675152601105
2013-11-01,-0.431937125110186
2013-12-01,-0.365843613678084
2014-01-01,-0.101048952136876
2014-02-01,-0.229426251992247
2014-03-01,-0.189433569646524
2014-04-01,-0.276424659537967
2014-05-01,-0.327080924996582
2014-06-01,-0.345066518962817
2014-07-01,-0.241517861742187
2014-08-01,-0.202806037817246
2014-09-01,-0.434003893981332
2014-10-01,-0.00462202579247595
2014-11-01,-0.231972449314948
2014-12-01,-0.113330700868258
2015-01-01,-0.146287725336521
2015-02-01,-0.13285677601942
2015-03-01,-0.048525382584987
2015-04-01,-0.196855504332948
2015-05-01,-0.0467856326878107
2015-06-01,-0.0415668363676156
2015-07-01,-0.0792093637422157
2015-08-01,0.0772417881503804
2015-09-01,0.0652982459992994
2015-10-01,0.104398674849816
2015-11-01,0.166721011261689
2015-12-01,0.0855919505488319
2016-01-01,-0.104671247019511
2016-02-01,0.074044034396849
2016-03-01,0.0615827742635624
2016-04-01,-0.0256547410006738
2016-05-01,0.178811283595753
2016-06-01,0.0455934478246538
2016-07-01,0.0527380056388589
2016-08-01,0.0772987158817267
2016-09-01,0.078888787883504
2016-10-01,0.0916649318520993
2016-11-01,0.0412420857743155
2016-12-01,0.149887162435755
2017-01-01,0.222948675510301
2017-02-01,0.093739042695639
2017-03-01,0.37212717508987
2017-04-01,0.366754058572121
2017-05-01,0.419193106893951
2017-06-01,0.449816527050864
2017-07-01,0.379185905097948
2017-08-01,0.402173516904129
2017-09-01,0.385733878092576
2017-10-01,0.385405773849243
2017-11-01,0.400324095167935
2017-12-01,0.327189945856383
2018-01-01,0.380473259077429
2018-02-01,0.659009646322835
2018-03-01,0.57591019099834
2018-04-01,0.62474757594133
2018-05-01,0.550698609431077
2018-06-01,0.458548222496933
2018-07-01,0.402712130594804
2018-08-01,0.495553575517556
2018-09-01,0.35764375645978
2018-10-01,0.24176796199855
2018-11-01,0.051060749448538
2018-12-01,-0.0607778326464183
2019-01-01,0.0428059137168661
2019-02-01,-0.0714114486505877
