,RT_MAI
1995-08-01,0.187924413532909
1995-09-01,0.130659987892977
1995-10-01,0.0627366174346539
1995-11-01,0.181692445827349
1995-12-01,0.206820613969501
1996-01-01,0.233565796851096
1996-02-01,0.236725346732632
1996-03-01,0.326162137784945
1996-04-01,0.391426015614759
1996-05-01,0.358278551724623
1996-06-01,0.331511861963664
1996-07-01,0.294219596870432
1996-08-01,0.176995226914834
1996-09-01,0.181700686536501
1996-10-01,0.110225853635223
1996-11-01,0.0690988382236212
1996-12-01,0.0799128503105668
1997-01-01,0.125235510914961
1997-02-01,0.0995870161254373
1997-03-01,-0.0412349041927945
1997-04-01,-0.0685270750027966
1997-05-01,-0.0454880806230628
1997-06-01,-0.0715997123817535
1997-07-01,-0.0820435998385325
1997-08-01,-0.0343224453424968
1997-09-01,0.015321110059656
1997-10-01,0.0493384944628884
1997-11-01,0.0406196273561219
1997-12-01,-0.0827497452285731
1998-01-01,0.0201968679209724
1998-02-01,0.0201901701798568
1998-03-01,-0.14015961597757
1998-04-01,-0.00623775117476902
1998-05-01,-0.191827414838533
1998-06-01,-0.46248862046803
1998-07-01,-0.3657850801184
1998-08-01,-0.398594431750503
1998-09-01,-0.357649647428232
1998-10-01,-0.266664424512372
1998-11-01,-0.126388767204138
1998-12-01,0.0416469937313122
1999-01-01,0.153238962387755
1999-02-01,0.191057036981631
1999-03-01,0.288152125293249
1999-04-01,0.276199527461288
1999-05-01,0.305950862415611
1999-06-01,0.328106255292419
1999-07-01,0.324993510990652
1999-08-01,0.300324242817545
1999-09-01,0.355359989515886
1999-10-01,0.345610944853748
1999-11-01,0.328216422072946
1999-12-01,0.33448633558188
2000-01-01,0.311692549884668
2000-02-01,0.196747152680546
2000-03-01,0.256853038158039
2000-04-01,0.131861517425642
2000-05-01,-0.0205073152320748
2000-06-01,0.132970016848205
2000-07-01,0.0255752566583539
2000-08-01,-0.0990770917360265
2000-09-01,-0.283903214875548
2000-10-01,-0.493158521862236
2000-11-01,-0.58350581147284
2000-12-01,-0.643461472833413
2001-01-01,-0.687565396674089
2001-02-01,-0.708494427601692
2001-03-01,-0.682288227647174
2001-04-01,-0.737952378620874
2001-05-01,-0.552145586886857
2001-06-01,-0.304215199370443
2001-07-01,-0.137914849327238
2001-08-01,-0.00422439723911419
2001-09-01,-0.254921221826421
2001-10-01,-0.398669586277801
2001-11-01,-0.244800295506632
2001-12-01,-0.0116647115904657
2002-01-01,0.0897305503778765
2002-02-01,0.305152058499555
2002-03-01,0.405573998649056
2002-04-01,0.476215353143442
2002-05-01,0.60726533833106
2002-06-01,0.322584897985419
2002-07-01,0.304883701033979
2002-08-01,0.375276950264033
2002-09-01,0.404215272747066
2002-10-01,0.3873437122618
2002-11-01,0.429497394010019
2002-12-01,0.295694377410616
2003-01-01,0.256995792283433
2003-02-01,0.202106767464551
2003-03-01,0.131874005945086
2003-04-01,0.230459221882949
2003-05-01,0.257410590995351
2003-06-01,0.269902816873696
2003-07-01,0.414413536726246
2003-08-01,0.556783866965121
2003-09-01,0.5979923976432
2003-10-01,0.75243527480702
2003-11-01,0.784208821850751
2003-12-01,0.653612108881527
2004-01-01,0.605926042265549
2004-02-01,0.525772687700628
2004-03-01,0.596800089054525
2004-04-01,0.596717961741681
2004-05-01,0.567271174286349
2004-06-01,0.546419616252765
2004-07-01,0.54931411889599
2004-08-01,0.48535785847142
2004-09-01,0.501022298125389
2004-10-01,0.54548242350481
2004-11-01,0.518902237698623
2004-12-01,0.561953139347093
2005-01-01,0.517513805492947
2005-02-01,0.505872628564443
2005-03-01,0.279062917964653
2005-04-01,0.177309209757616
2005-05-01,0.221888211907895
2005-06-01,0.229861770267744
2005-07-01,0.123853354488747
2005-08-01,0.147308856790842
2005-09-01,0.0846474378693166
2005-10-01,-0.0469529606833168
2005-11-01,0.0747130327047601
2005-12-01,0.118163434874894
2006-01-01,0.1761083565747
2006-02-01,0.162663672960109
2006-03-01,0.404645186110703
2006-04-01,0.412214683582551
2006-05-01,0.333689213851566
2006-06-01,0.330509372539099
2006-07-01,0.331052963914764
2006-08-01,0.192004866798679
2006-09-01,0.203285673516905
2006-10-01,0.246759304859218
2006-11-01,0.25831278687998
2006-12-01,0.235572973617919
2007-01-01,0.323100149045398
2007-02-01,0.487115320626491
2007-03-01,0.564773038138741
2007-04-01,0.520824893558992
2007-05-01,0.636562477300195
2007-06-01,0.606256773828363
2007-07-01,0.607322619101942
2007-08-01,0.532947241313213
2007-09-01,0.458857645975104
2007-10-01,0.58014699374012
2007-11-01,0.506506811774144
2007-12-01,0.431764311476167
2008-01-01,0.27136789858845
2008-02-01,0.298014916420364
2008-03-01,0.0522241343706262
2008-04-01,-0.127395322125005
2008-05-01,-0.177056444347816
2008-06-01,-0.375472781904691
2008-07-01,-0.598383169857788
2008-08-01,-0.76520658714609
2008-09-01,-0.860956672788356
2008-10-01,-1.29956676078647
2008-11-01,-1.59615809293506
2008-12-01,-1.62707670437983
2009-01-01,-1.53277041000052
2009-02-01,-1.77422151215759
2009-03-01,-1.70711674751504
2009-04-01,-1.33109345466302
2009-05-01,-1.20882839823291
2009-06-01,-0.75521033630894
2009-07-01,-0.429260385644863
2009-08-01,-0.126132162766509
2009-09-01,0.0186476447135479
2009-10-01,0.233608786959574
2009-11-01,0.37878994995464
2009-12-01,0.3489021076889
2010-01-01,0.305874999091825
2010-02-01,0.306160371495348
2010-03-01,0.339597326344868
2010-04-01,0.321858066191715
2010-05-01,0.209960166508119
2010-06-01,0.0804200741224551
2010-07-01,-0.0574294460226704
2010-08-01,-0.0272832289155967
2010-09-01,0.0122238624098704
2010-10-01,-0.052837251549343
2010-11-01,-0.0453951776680562
2010-12-01,-0.143938146329099
2011-01-01,-0.269172055721919
2011-02-01,-0.219077862587591
2011-03-01,-0.175395373708343
2011-04-01,-0.150115379259958
2011-05-01,-0.252230907126336
2011-06-01,-0.257240387158612
2011-07-01,-0.372325216422049
2011-08-01,-0.580061216465788
2011-09-01,-0.53154642370196
2011-10-01,-0.432834688726466
2011-11-01,-0.415551632845489
2011-12-01,-0.392244649195612
2012-01-01,-0.333347469058269
2012-02-01,-0.323323115171404
2012-03-01,-0.310939823453857
2012-04-01,-0.405038615336262
2012-05-01,-0.540209666527002
2012-06-01,-0.618271802185602
2012-07-01,-0.591571081002492
