Date,TARGET,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID
1/03/1997,1,0,0,0,0,0,0,0,0
1/06/1997,1,0,0,0,0,0,0,0,0
1/09/1997,1,0,0,0,0,0,0,0,0
1/12/1997,1,0,0,0,0,0,0,0,0
1/03/1998,1,0,0,0,0,0,0,0,0
1/06/1998,1,0,0,0,0,0,0,0,0
1/09/1998,1,0,0,0,0,0,0,0,0
1/12/1998,1,0,0,0,0,0,0,0,0
1/03/1999,1,0,0,0,0,0,0,0,0
1/06/1999,1,0,0,0,0,0,0,0,0
1/09/1999,1,0,0,0,0,0,0,0,0
1/12/1999,1,0,0,0,0,0,0,0,0
1/03/2000,1,0,0,0,0,0,0,0,0
1/06/2000,1,0,0,0,0,0,0,0,0
1/09/2000,1,0,0,0,0,0,0,0,0
1/12/2000,1,0,0,0,0,0,0,0,0
1/03/2001,1,0,0,0,0,0,0,0,0
1/06/2001,1,0,0,0,0,0,0,0,0
1/09/2001,1,0,0,0,0,0,0,0,0
1/12/2001,1,0,0,0,0,0,0,0,0
1/03/2002,1,0,0,0,0,0,0,0,0
1/06/2002,1,0,0,0,0,0,0,0,0
1/09/2002,1,0,0,0,0,0,0,0,0
1/12/2002,1,0,0,0,0,0,0,0,0
1/03/2003,1,0,0,0,0,0,0,0,0
1/06/2003,1,0,0,0,0,0,0,0,0
1/09/2003,1,0,0,0,0,0,0,0,0
1/12/2003,1,0,0,0,0,0,0,0,0
1/03/2004,1,0,0,0,0,0,0,0,0
1/06/2004,1,0,0,0,0,0,0,0,0
1/09/2004,1,0,0,0,0,0,0,0,0
1/12/2004,1,0,0,0,0,0,0,0,0
1/03/2005,1,0,0,0,0,0,0,0,0
1/06/2005,1,0,0,0,0,0,0,0,0
1/09/2005,1,0,0,0,0,0,0,0,0
1/12/2005,1,0,0,0,0,0,0,0,0
1/03/2006,1,0,0,0,0,0,0,0,0
1/06/2006,1,0,0,0,0,0,0,0,0
1/09/2006,1,0,0,0,0,0,0,0,0
1/12/2006,1,0,0,0,0,0,0,0,0
1/03/2007,1,0,0,0,0,0,0,0,0
1/06/2007,1,0,0,0,0,0,0,0,0
1/09/2007,1,0,0,0,0,0,0,0,0
1/12/2007,1,0,0,0,0,0,0,0,0
1/03/2008,1,0,0,0,0,0,0,0,0
1/06/2008,1,0,0,0,0,0,0,0,0
1/09/2008,1,0,0,0,0,0,0,0,0
1/12/2008,1,0,0,0,0,0,0,0,0
1/03/2009,1,0,0,0,0,0,0,0,0
1/06/2009,1,0,0,0,0,0,0,0,0
1/09/2009,1,0,0,0,0,0,0,0,0
1/12/2009,1,0,0,0,0,0,0,0,0
1/03/2010,1,0,0,0,0,0,0,0,0
1/06/2010,1,0,0,0,0,0,0,0,0
1/09/2010,1,0,0,0,0,0,0,0,0
1/12/2010,1,0,0,0,0,0,0,0,0
1/03/2011,1,0,0,0,0,0,0,0,0
1/06/2011,1,0,0,0,0,0,0,0,0
1/09/2011,1,0,0,0,0,0,0,0,0
1/12/2011,1,0,0,0,0,0,0,0,0
1/03/2012,1,0,0,0,0,0,0,0,0
1/06/2012,1,0,0,0,0,0,0,0,0
1/09/2012,1,0,0,0,0,0,0,0,0
1/12/2012,1,0,0,0,0,0,0,0,0
1/03/2013,1,0,0,0,0,0,0,0,0
1/06/2013,1,0,0,0,0,0,0,0,0
1/09/2013,1,0,0,0,0,0,0,0,0
1/12/2013,1,0,0,0,0,0,0,0,0
1/03/2014,1,0,0,0,0,0,0,0,0
1/06/2014,1,0,0,0,0,0,0,0,0
1/09/2014,1,0,0,0,0,0,0,0,0
1/12/2014,1,0,0,0,0,0,0,0,0
1/03/2015,1,0,0,0,0,0,0,0,0
1/06/2015,1,0,0,0,0,0,0,0,0
1/09/2015,1,0,0,0,0,0,0,0,0
1/12/2015,1,0,0,0,0,0,0,0,0
1/03/2016,1,0,0,0,0,0,0,0,0
1/06/2016,1,0,0,0,0,0,0,0,0
1/09/2016,1,0,0,0,0,0,0,0,0
1/12/2016,1,0,0,0,0,0,0,0,0
1/03/2017,1,0,0,0,0,0,0,0,0
1/06/2017,1,0,0,0,0,0,0,0,0
1/09/2017,1,0,0,0,0,0,0,0,0
1/12/2017,1,0,0,0,0,0,0,0,0
1/03/2018,1,0,0,0,0,0,0,0,0
1/06/2018,1,0,0,0,0,0,0,0,0
1/09/2018,1,0,0,0,0,0,0,0,0
1/12/2018,1,0,0,0,0,0,0,0,0
1/03/2019,1,0,0,0,0,0,0,0,0
1/06/2019,1,0,0,0,0,0,0,0,0
1/09/2019,1,0,0,0,0,0,0,0,0
1/12/2019,1,0,0,0,0,0,0,0,0
1/03/2020,1,1,0,0,0,0,0,0,0
1/06/2020,1,0,1,0,0,0,0,0,0
1/09/2020,1,0,0,1,0,0,0,0,0
1/12/2020,1,0,0,0,1,0,0,0,0
1/03/2021,1,0,0,0,0,1,0,0,0
1/06/2021,1,0,0,0,0,0,1,0,0
1/09/2021,1,0,0,0,0,0,0,1,0
1/12/2021,1,0,0,0,0,0,0,0,1
1/03/2022,1,0,0,0,0,0,0,0,0
1/06/2022,1,0,0,0,0,0,0,0,0
